secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector	Mean_Coverage	Selected
Hubbard et al., 2015	08/501	08_501	2008	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Timber	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Timber	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/08_501/R1.fq.gz	raw_reads/08_501/R2.fq.gz	Unknown	0.7917617012900744	No
Hubbard et al., 2015	11/128	11_128	2011	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/11_128/R1.fq.gz	raw_reads/11_128/R2.fq.gz	Unknown	456.27025880245566	Yes
Hubbard et al., 2015	11/140	11_140	2011	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	KWS Sterling	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	KWS Sterling	Infected Leaf	Unknown	Yellow Rust	Bedfordshire	UK	Unknown	Unknown	raw_reads/11_140/R1.fq.gz	raw_reads/11_140/R2.fq.gz	Unknown	0.6974775934681181	No
Hubbard et al., 2015	13/120	13_120	2013/07/03	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Ambition	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Ambition	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_120/R1.fq.gz	raw_reads/13_120/R2.fq.gz	UKCPVS	338.5453211478077	Yes
Hubbard et al., 2015	13/123	13_123	2013/07/03	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Ambition	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Ambition	Infected Leaf	Unknown	Yellow Rust	Boston	UK	Unknown	Unknown	raw_reads/13_123/R1.fq.gz	raw_reads/13_123/R2.fq.gz	UKCPVS	90.88703567173543	Yes
Hubbard et al., 2015	13/14	13_14	2013/06/05	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Oakley	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Oakley	Infected Leaf	Unknown	Yellow Rust	Boston	UK	Unknown	Unknown	raw_reads/13_14/R1.fq.gz	raw_reads/13_14/R2.fq.gz	UKCPVS	421.48501157309846	Yes
Hubbard et al., 2015	13/15	13_15	2013/06/05	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Torch	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Torch	Infected Leaf	Unknown	Yellow Rust	Mendelsham	UK	Unknown	Unknown	raw_reads/13_15/R1.fq.gz	raw_reads/13_15/R2.fq.gz	UKCPVS	420.8376030472484	Yes
Hubbard et al., 2015	13/18	13_18	2013/06/05	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	KWS W196	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	KWS W196	Infected Leaf	Unknown	Yellow Rust	Mendelsham	UK	Unknown	Unknown	raw_reads/13_18/R1.fq.gz	raw_reads/13_18/R2.fq.gz	UKCPVS	353.5578865051738	Yes
Hubbard et al., 2015	13/182	13_182	2013	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Crusoe	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Crusoe	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/13_182/R1.fq.gz	raw_reads/13_182/R2.fq.gz	UKCPVS	406.3816003960191	Yes
Hubbard et al., 2015	13/19	13_19	2013/06/05	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Panacea	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Panacea	Infected Leaf	Unknown	Yellow Rust	Mendelsham	UK	Unknown	Unknown	raw_reads/13_19/R1.fq.gz	raw_reads/13_19/R2.fq.gz	UKCPVS	251.71424641816003	Yes
Hubbard et al., 2015	13/20	13_20	2013/06/06	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	KWS Rowan	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	KWS Rowan	Infected Leaf	Unknown	Yellow Rust	Sutton Scotney	UK	Unknown	Unknown	raw_reads/13_20/R1.fq.gz	raw_reads/13_20/R2.fq.gz	UKCPVS	262.2156051652802	Yes
Hubbard et al., 2015	13/21	13_21	2013	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Solstice	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Solstice	Infected Leaf	Unknown	Yellow Rust	Terrington St Clement	UK	Unknown	Unknown	raw_reads/13_21/R1.fq.gz	raw_reads/13_21/R2.fq.gz	UKCPVS	479.9235649008915	Yes
Hubbard et al., 2015	13/22	13_22	2013/06/13	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Solstice	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Solstice	Infected Leaf	Unknown	Yellow Rust	Boothby Graffoe	UK	Unknown	Unknown	raw_reads/13_22/R1.fq.gz	raw_reads/13_22/R2.fq.gz	UKCPVS	353.7704376664252	Yes
Hubbard et al., 2015	13/23	13_23	2013/06/13	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Boothby Graffoe	UK	Unknown	Unknown	raw_reads/13_23/R1.fq.gz	raw_reads/13_23/R2.fq.gz	UKCPVS	274.2133933054618	Yes
Hubbard et al., 2015	13/24	13_24	2013/06/13	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	KWS Kielder	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	KWS Kielder	Infected Leaf	Unknown	Yellow Rust	Boothby Graffoe	UK	Unknown	Unknown	raw_reads/13_24/R1.fq.gz	raw_reads/13_24/R2.fq.gz	UKCPVS	355.61029309344195	Yes
Hubbard et al., 2015	13/25	13_25	2013/06/13	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	KWS Dali	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	KWS Dali	Infected Leaf	Unknown	Yellow Rust	Boothby Graffoe	UK	Unknown	Unknown	raw_reads/13_25/R1.fq.gz	raw_reads/13_25/R2.fq.gz	UKCPVS	380.3871000217678	Yes
Hubbard et al., 2015	13/26	13_26	2013/06/12	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Horatio	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Horatio	Infected Leaf	Unknown	Yellow Rust	Cirencester	UK	Unknown	Unknown	raw_reads/13_26/R1.fq.gz	raw_reads/13_26/R2.fq.gz	UKCPVS	237.597979780829	Yes
Hubbard et al., 2015	13/27	13_27	2013/06/12	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Oakley	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Oakley	Infected Leaf	Unknown	Yellow Rust	Cirencester	UK	Unknown	Unknown	raw_reads/13_27/R1.fq.gz	raw_reads/13_27/R2.fq.gz	UKCPVS	435.3516504202422	Yes
Hubbard et al., 2015	13/28	13_28	2013/06/12	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Solstice	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Solstice	Infected Leaf	Unknown	Yellow Rust	Cirencester	UK	Unknown	Unknown	raw_reads/13_28/R1.fq.gz	raw_reads/13_28/R2.fq.gz	UKCPVS	209.7479865338535	Yes
Hubbard et al., 2015	13/29	13_29	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Solstice	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Solstice	Infected Leaf	Unknown	Yellow Rust	Oxford	UK	Unknown	Unknown	raw_reads/13_29/R1.fq.gz	raw_reads/13_29/R2.fq.gz	UKCPVS	391.30102831104125	Yes
Hubbard et al., 2015	13/30	13_30	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	ReR22	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	ReR22	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_30/R1.fq.gz	raw_reads/13_30/R2.fq.gz	UKCPVS	501.5218918596754	Yes
Hubbard et al., 2015	13/32	13_32	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	ReR04	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	ReR04	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_32/R1.fq.gz	raw_reads/13_32/R2.fq.gz	UKCPVS	445.9703229072167	Yes
Hubbard et al., 2015	13/33	13_33	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Recital	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Recital	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_33/R1.fq.gz	raw_reads/13_33/R2.fq.gz	UKCPVS	518.5241951713153	Yes
Hubbard et al., 2015	13/34	13_34	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	ReR32	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	ReR32	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_34/R1.fq.gz	raw_reads/13_34/R2.fq.gz	UKCPVS	307.2804102041041	Yes
Hubbard et al., 2015	13/35	13_35	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	ReR64	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	ReR64	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_35/R1.fq.gz	raw_reads/13_35/R2.fq.gz	UKCPVS	346.47970325499693	Yes
Hubbard et al., 2015	13/36	13_36	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Allez Y	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Allez Y	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_36/R1.fq.gz	raw_reads/13_36/R2.fq.gz	UKCPVS	306.8066313086465	Yes
Hubbard et al., 2015	13/37	13_37	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	ReR110	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	ReR110	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_37/R1.fq.gz	raw_reads/13_37/R2.fq.gz	UKCPVS	762.9449333541846	Yes
Hubbard et al., 2015	13/38	13_38	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	ReR138	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	ReR138	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_38/R1.fq.gz	raw_reads/13_38/R2.fq.gz	UKCPVS	431.3812433250822	Yes
Hubbard et al., 2015	13/39	13_39	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Toisondor	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Toisondor	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_39/R1.fq.gz	raw_reads/13_39/R2.fq.gz	UKCPVS	499.52103475146663	Yes
Hubbard et al., 2015	13/40	13_40	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Fairplay	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Fairplay	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_40/R1.fq.gz	raw_reads/13_40/R2.fq.gz	UKCPVS	346.9395043826317	Yes
Hubbard et al., 2015	13/42	13_42	2013/06/14	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Audace	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Audace	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	Unknown	Unknown	raw_reads/13_42/R1.fq.gz	raw_reads/13_42/R2.fq.gz	UKCPVS	309.59304952385753	Yes
Hubbard et al., 2015	13/520	13_520	2013/07/07	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Warrior	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Warrior	Infected Leaf	Unknown	Yellow Rust	Cambridge	UK	Unknown	Unknown	raw_reads/13_520/R1.fq.gz	raw_reads/13_520/R2.fq.gz	UKCPVS	236.1052553553754	Yes
Hubbard et al., 2015	13/65	13_65	2013/06/18	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Claire	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Claire	Infected Leaf	Unknown	Yellow Rust	Cambridge	UK	Unknown	Unknown	raw_reads/13_65/R1.fq.gz	raw_reads/13_65/R2.fq.gz	UKCPVS	438.18521296647845	Yes
Hubbard et al., 2015	13/71	13_71	2013/06/19	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Laurier	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Laurier	Infected Leaf	Unknown	Yellow Rust	Headley Hall	UK	Unknown	Unknown	raw_reads/13_71/R1.fq.gz	raw_reads/13_71/R2.fq.gz	UKCPVS	146.171341302501	Yes
Hubbard et al., 2015	78/66	78_66	1978	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/78_66/R1.fq.gz	raw_reads/78_66/R2.fq.gz	Unknown	422.0923285436642	Yes
Hubbard et al., 2015	87/66	87_66	1987	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/87_66/R1.fq.gz	raw_reads/87_66/R2.fq.gz	NIAB	0.7265364277591032	No
Hubbard et al., 2015	88.44SS3	88_44SS3	1988	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/88_44SS3/R1.fq.gz	raw_reads/88_44SS3/R2.fq.gz	NIAB	0.7341069656496891	No
Hubbard et al., 2015	88.45SS	88_45SS	1988	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/88_45SS/R1.fq.gz	raw_reads/88_45SS/R2.fq.gz	NIAB	0.7255777113578732	No
Hubbard et al., 2015	88.55SS	88_55SS	1988	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/88_55SS/R1.fq.gz	raw_reads/88_55SS/R2.fq.gz	NIAB	0.9132863745308695	No
Hubbard et al., 2015	CL1	CL1	2013/06/06	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticale	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Unknown (Triticale)	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/CL1/R1.fq.gz	raw_reads/CL1/R2.fq.gz	Clare Lewis	554.774918250209	Yes
Hubbard et al., 2015	RB2	RB2	2014	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Torch	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Torch	Infected Leaf	Unknown	Yellow Rust	Cambridgeshire	UK	Unknown	Unknown	raw_reads/RB1/R1.fq.gz	raw_reads/RB1/R2.fq.gz	Unknown	0.0	No
Hubbard et al., 2015	RB1	RB1	2014	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticum aestivum	Oakley	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Oakley	Infected Leaf	Unknown	Yellow Rust	Cambridgeshire	UK	Unknown	Unknown	raw_reads/RB2/R1.fq.gz	raw_reads/RB2/R2.fq.gz	Unknown	0.0	No
Hubbard et al., 2015	T13/1	T13_1	2013/06/26	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticale	Phidahlia	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Phidahlia (Triticale)	Infected Leaf	Unknown	Yellow Rust	Headley Hall	UK	Unknown	Unknown	raw_reads/T13_1/R1.fq.gz	raw_reads/T13_1/R2.fq.gz	UKCPVS	232.7411188658842	Yes
Hubbard et al., 2015	T13/2	T13_2	2013/07/05	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticale	Amarillo	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Amarillo (Triticale)	Infected Leaf	Unknown	Yellow Rust	Wareham	UK	Unknown	Unknown	raw_reads/T13_2/R1.fq.gz	raw_reads/T13_2/R2.fq.gz	UKCPVS	226.4739366293771	Yes
Hubbard et al., 2015	T13/3	T13_3	2013/07/05	Puccinia Striiformis f. sp. Tritici	Hubbard et al., 2015	Hubbard et al., 2015	Triticale	Bennette	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s13059-015-0590-8	Bennette (Triticale)	Infected Leaf	Unknown	Yellow Rust	Wool	UK	Unknown	Unknown	raw_reads/T13_3/R1.fq.gz	raw_reads/T13_3/R2.fq.gz	UKCPVS	137.8726866547459	Yes
Ozketen et al., 2020	TR0997: AvocetYR10	SRR9185093	2014/03	Puccinia Striiformis f. sp. Tritici	Ozketen et al., 2020	Ozketen et al., 2020	Triticum aestivum	Avocet Yr10	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1042/BSR20201188	Avocet Yr10	Infected Leaf	Unknown	Yellow Rust	Turkey	Turkey	Unknown	Unknown	raw_reads/SRR9185093/R1.fq.gz	raw_reads/SRR9185093/R2.fq.gz	Unknown	0.32371319748951066	No
Ozketen et al., 2020	TR0995-TR0997: AvocetS	SRR9185094	2014/03	Puccinia Striiformis f. sp. Tritici	Ozketen et al., 2020	Ozketen et al., 2020	Triticum aestivum	Avocet S	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1042/BSR20201188	Avocet S	Infected Leaf	Unknown	Yellow Rust	Turkey	Turkey	Unknown	Unknown	raw_reads/SRR9185094/R1.fq.gz	raw_reads/SRR9185094/R2.fq.gz	Unknown	32.16856583005294	Yes
Radhakrishnan et al., 2019	15.0078	15_0078	2015/05/07	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Primus	Infected Leaf	23	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Primus	Infected Leaf	23	Yellow Rust	Österlen	Sweden	3	Unknown	raw_reads/15_0078/R1.fq.gz	raw_reads/15_0078/R2.fq.gz	Tina Henriksson	227.89751939291108	Yes
Radhakrishnan et al., 2019	15.0188	15_0188	2015/06/04	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticale	Orleac	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Orleac (Triticale)	Infected Leaf	Unknown	Yellow Rust	Castanet	France	70		raw_reads/15_0188/R1.fq.gz	raw_reads/15_0188/R2.fq.gz	J P Legoff	323.01960140058713	Yes
Radhakrishnan et al., 2019	15.0189	15_0189	2015/06/04	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticale	Ragtac	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Ragtac (Triticale)	Infected Leaf	Unknown	Yellow Rust	Castanet	France	80		raw_reads/15_0189/R1.fq.gz	raw_reads/15_0189/R2.fq.gz	J P Legoff	387.78267984737676	Yes
Radhakrishnan et al., 2019	15.0190	15_0190	2015/06/04	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticale	Tarzan	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Tarzan (Triticale)	Infected Leaf	Unknown	Yellow Rust	Castanet	France	65		raw_reads/15_0190/R1.fq.gz	raw_reads/15_0190/R2.fq.gz	J P Legoff	358.1056336750642	Yes
Radhakrishnan et al., 2019	15.0191	15_0191	2015/06/04	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticale	Fido	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Fido (Triticale)	Infected Leaf	Unknown	Yellow Rust	Castanet	France	70		raw_reads/15_0191/R1.fq.gz	raw_reads/15_0191/R2.fq.gz	J P Legoff	298.2454019322489	Yes
Radhakrishnan et al., 2019	15.0305	15_0305	2015/04/22	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Tam 112	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Tam 112	Infected Leaf	Unknown	Yellow Rust	Wichita, Kansas	USA	Unknown	Unknown	raw_reads/15_0305/R1.fq.gz	raw_reads/15_0305/R2.fq.gz	Marla Barnett	49.120072930639544	Yes
Radhakrishnan et al., 2019	15.0306	15_0306	2015/04/22	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Everest	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Everest	Infected Leaf	Unknown	Yellow Rust	Wichita, Kansas	USA	Unknown	Unknown	raw_reads/15_0306/R1.fq.gz	raw_reads/15_0306/R2.fq.gz	Marla Barnett	43.981354996239126	Yes
Radhakrishnan et al., 2019	15.0308	15_0308	2015/04/30	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	LCS 2141	Infected Leaf	< Feekes 10	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	LCS 2141	Infected Leaf	< Feekes 10	Yellow Rust	Cash, Arkansas	USA	60		raw_reads/15_0308/R1.fq.gz	raw_reads/15_0308/R2.fq.gz	Maria Barnett	99.97275445352128	Yes
Radhakrishnan et al., 2019	15.0348	15_0348	2015/06/01	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Yellowstone	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Yellowstone	Infected Leaf	Unknown	Yellow Rust	Bozeman, Montana	USA	30	Unknown	raw_reads/15_0348/R1.fq.gz	raw_reads/15_0348/R2.fq.gz	Xianming Chen	214.39783062605807	Yes
Radhakrishnan et al., 2019	15.0349	15_0349	2015/05/27	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	ORCF 101R	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	ORCF 101R	Infected Leaf	Unknown	Yellow Rust	Corvallis, Oregon	USA	50	Unknown	raw_reads/15_0349/R1.fq.gz	raw_reads/15_0349/R2.fq.gz	Xianming Chen	58.05828384543353	Yes
Radhakrishnan et al., 2019	15.0350	15_0350	2015/06/03	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	YS 221	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	YS 221	Infected Leaf	Unknown	Yellow Rust	Siskiyou, California	USA	50	Unknown	raw_reads/15_0350/R1.fq.gz	raw_reads/15_0350/R2.fq.gz	Xianming Chen	206.41581813483282	Yes
Radhakrishnan et al., 2019	15.0351	15_0351	2015/06/02	Puccinia Striiformis f. sp. Tritici	Radhakrishnan et al., 2019	Radhakrishnan et al., 2019	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1186/s12915-019-0684-y	Unknown	Infected Leaf	Unknown	Yellow Rust	Montana	USA	10	Unknown	raw_reads/15_0351/R1.fq.gz	raw_reads/15_0351/R2.fq.gz	Xianming Chen	27.66270018743614	Yes
